=== Font Debug Output (PID: 84546) ===
Total fonts: 977

  48: Apple SD Gothic NeoI | /System/Library/Fonts/AppleSDGothicNeo.ttc | idx=9 | Normal-300-FontStretch(1000)
  49: Apple SD Gothic Neo | /System/Library/Fonts/AppleSDGothicNeo.ttc | idx=10 | Normal-100-FontStretch(1000)
  50: Apple SD Gothic NeoI | /System/Library/Fonts/AppleSDGothicNeo.ttc | idx=11 | Normal-100-FontStretch(1000)
  51: Apple SD Gothic Neo | /System/Library/Fonts/AppleSDGothicNeo.ttc | idx=12 | Normal-200-FontStretch(1000)
  52: Apple SD Gothic NeoI | /System/Library/Fonts/AppleSDGothicNeo.ttc | idx=13 | Normal-200-FontStretch(1000)
  53: Apple SD Gothic Neo | /System/Library/Fonts/AppleSDGothicNeo.ttc | idx=14 | Normal-800-FontStretch(1000)
  54: Apple SD Gothic NeoI | /System/Library/Fonts/AppleSDGothicNeo.ttc | idx=15 | Normal-800-FontStretch(1000)
  55: Apple SD Gothic Neo | /System/Library/Fonts/AppleSDGothicNeo.ttc | idx=16 | Normal-900-FontStretch(1000)
  56: Apple SD Gothic NeoI | /System/Library/Fonts/AppleSDGothicNeo.ttc | idx=17 | Normal-900-FontStretch(1000)
  57: Menlo | /System/Library/Fonts/Menlo.ttc | idx=0 | Normal-400-FontStretch(1000)
  58: Menlo | /System/Library/Fonts/Menlo.ttc | idx=1 | Normal-700-FontStretch(1000)
  59: Menlo | /System/Library/Fonts/Menlo.ttc | idx=2 | Italic-400-FontStretch(1000)
  60: Menlo | /System/Library/Fonts/Menlo.ttc | idx=3 | Italic-700-FontStretch(1000)
  61: Heiti TC | /System/Library/Fonts/STHeiti Medium.ttc | idx=0 | Normal-400-FontStretch(1000)
  62: Heiti SC | /System/Library/Fonts/STHeiti Medium.ttc | idx=1 | Normal-400-FontStretch(1000)
  63: Symbol | /System/Library/Fonts/Symbol.ttf | idx=0 | Normal-400-FontStretch(1000)
  64: Geneva | /System/Library/Fonts/Geneva.ttf | idx=0 | Normal-400-FontStretch(1000)
  65: Hiragino Sans GB | /System/Library/Fonts/Hiragino Sans GB.ttc | idx=0 | Normal-300-FontStretch(1000)
  66: Hiragino Sans GB Interface | /System/Library/Fonts/Hiragino Sans GB.ttc | idx=1 | Normal-300-FontStretch(1000)
  67: Hiragino Sans GB | /System/Library/Fonts/Hiragino Sans GB.ttc | idx=2 | Normal-600-FontStretch(1000)
  68: Hiragino Sans GB Interface | /System/Library/Fonts/Hiragino Sans GB.ttc | idx=3 | Normal-600-FontStretch(1000)
  69: LastResort | /System/Library/Fonts/LastResort.otf | idx=0 | Normal-400-FontStretch(1000)
  70: Noto Serif Myanmar | /System/Library/Fonts/NotoSerifMyanmar.ttc | idx=0 | Normal-900-FontStretch(1000)
  71: Noto Serif Myanmar | /System/Library/Fonts/NotoSerifMyanmar.ttc | idx=1 | Normal-700-FontStretch(1000)
  72: Noto Serif Myanmar | /System/Library/Fonts/NotoSerifMyanmar.ttc | idx=2 | Normal-800-FontStretch(1000)
